Jurisdiction,Week,All,Natural,Septicemia,Malignant,Diabetes,Alzheimer,Influenza,Chronic Illnesses,Other Diseases,Nephritis,"Symptoms, Signs, and Abnormal Clinical and Laboratory Findings",Heart Diseases,Cerebrovascular,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death)
Maine,11/20/2021,374,341,0,61,NA,11,NA,17,NA,11,NA,59,NA,56,52
Maryland,11/20/2021,1070,953,20,194,34,33,13,28,12,11,11,225,60,66,58
Massachusetts,11/20/2021,1267,1189,23,258,33,39,14,59,20,20,23,236,58,72,66
Michigan,11/20/2021,2622,2435,26,420,71,90,41,114,27,33,15,593,104,522,454
Minnesota,11/20/2021,1196,1111,11,202,44,59,11,49,16,12,19,177,45,227,202
Mississippi,11/20/2021,696,637,NA,114,31,35,13,45,12,18,NA,168,38,36,27
Missouri,11/20/2021,1456,1337,22,269,37,48,13,64,37,36,11,343,61,117,110
Montana,11/20/2021,303,277,NA,36,NA,NA,NA,NA,NA,NA,NA,57,NA,67,66
Nebraska,11/20/2021,437,408,NA,62,18,15,NA,21,NA,NA,NA,86,25,71,62
Nevada,11/20/2021,669,610,NA,116,17,NA,11,35,NA,NA,NA,147,22,102,95
New Hampshire,11/20/2021,298,274,NA,48,NA,NA,NA,12,NA,NA,NA,68,10,35,30
New Jersey,11/20/2021,1492,1377,37,299,28,52,20,43,37,30,19,351,50,81,73
New Mexico,11/20/2021,560,493,NA,59,18,16,11,20,NA,NA,0,87,10,151,144
New York,11/20/2021,2321,2177,37,415,53,63,61,111,55,32,35,498,96,222,197
New York City,11/20/2021,1132,1029,16,200,35,23,28,23,19,15,23,315,44,56,47
North Carolina,11/20/2021,2110,1931,36,381,73,86,56,88,29,41,25,393,105,143,134
North Dakota,11/20/2021,170,160,NA,28,NA,NA,NA,NA,NA,NA,NA,32,NA,37,36
Ohio,11/20/2021,3111,2857,38,470,92,106,40,140,35,49,38,626,148,506,460
Oklahoma,11/20/2021,913,826,NA,170,37,22,NA,49,NA,10,NA,242,44,103,80
Oregon,11/20/2021,892,810,NA,142,30,47,NA,25,NA,NA,12,165,47,89,83
Pennsylvania,11/20/2021,3227,2969,61,532,85,75,42,132,41,64,37,629,133,525,467
Rhode Island,11/20/2021,247,223,NA,47,NA,NA,NA,14,NA,NA,NA,42,10,20,15
South Carolina,11/20/2021,1152,1033,14,189,33,37,12,58,17,18,NA,244,59,99,90
South Dakota,11/20/2021,219,203,NA,44,NA,12,NA,NA,NA,0,NA,40,NA,37,30
Tennessee,11/20/2021,1780,1582,26,285,57,58,29,97,26,27,25,355,93,147,130
Texas,11/20/2021,4786,4361,76,867,158,220,75,167,57,79,44,1034,231,428,378
Utah,11/20/2021,486,438,NA,66,11,23,NA,16,NA,NA,NA,87,22,83,78
Vermont,11/20/2021,135,124,0,32,NA,11,0,NA,NA,NA,0,34,NA,NA,NA
Virginia,11/20/2021,1601,1452,18,290,52,46,23,54,26,35,12,340,82,130,120
Washington,11/20/2021,1341,1220,15,249,46,75,NA,39,13,NA,14,288,65,139,129
West Virginia,11/20/2021,620,561,NA,96,28,12,12,31,NA,12,10,107,20,113,91
Wisconsin,11/20/2021,1357,1232,14,218,37,62,11,48,11,17,NA,260,53,212,187
Wyoming,11/20/2021,139,124,NA,15,NA,NA,NA,NA,NA,NA,NA,25,NA,41,36
Puerto Rico,11/20/2021,624,565,13,101,66,53,13,18,10,23,NA,106,16,NA,NA
United States,11/27/2021,67970,62181,902,11717,2082,2444,882,2861,944,1031,759,14009,3314,7898,7078
Alabama,11/27/2021,1188,1095,26,200,32,60,25,70,16,18,21,272,65,59,52
Alaska,11/27/2021,154,131,NA,25,NA,NA,NA,NA,NA,NA,0,21,NA,29,28
Arizona,11/27/2021,1814,1657,NA,247,52,59,28,73,20,16,14,319,73,450,428
Arkansas,11/27/2021,755,698,11,112,27,21,14,52,10,15,NA,194,33,57,50
California,11/27/2021,6013,5502,46,1114,222,281,86,238,71,85,59,1268,352,529,479
Colorado,11/27/2021,1182,1044,14,163,21,43,NA,51,16,19,NA,177,43,278,262
Connecticut,11/27/2021,712,647,14,121,20,31,10,24,12,14,NA,122,37,52,48
Delaware,11/27/2021,234,216,NA,33,10,NA,NA,11,NA,NA,NA,47,16,24,21
District of Columbia,11/27/2021,133,106,NA,18,NA,NA,NA,0,0,0,0,41,NA,NA,NA
Florida,11/27/2021,4344,3889,52,835,137,131,49,196,58,67,64,967,291,156,118
Georgia,11/27/2021,1949,1772,37,381,51,84,24,91,31,38,25,436,93,89,78
Hawaii,11/27/2021,227,212,NA,40,NA,14,NA,NA,NA,NA,NA,41,19,NA,NA
Idaho,11/27/2021,381,352,NA,70,NA,17,NA,20,NA,NA,NA,64,15,51,47
Illinois,11/27/2021,2525,2332,35,473,84,75,43,92,38,55,36,541,143,233,206
Indiana,11/27/2021,1697,1544,16,246,50,48,17,93,29,33,11,327,74,244,217
Iowa,11/27/2021,747,710,NA,125,21,40,NA,31,NA,11,NA,183,31,98,85
Kansas,11/27/2021,648,597,NA,124,10,NA,11,29,NA,14,NA,121,37,78,68
Kentucky,11/27/2021,1180,1078,29,207,43,32,NA,68,17,28,16,224,44,135,117
Louisiana,11/27/2021,988,861,18,169,38,36,10,46,16,20,15,233,50,35,31
Maine,11/27/2021,398,372,0,65,NA,14,NA,17,NA,NA,NA,88,14,64,56
Maryland,11/27/2021,1084,972,26,208,29,21,11,34,16,12,NA,240,53,73,65
Massachusetts,11/27/2021,1270,1169,15,263,30,39,17,58,24,20,18,239,51,102,90
Michigan,11/27/2021,2849,2647,31,423,80,102,25,120,21,42,16,596,121,689,619
Minnesota,11/27/2021,1238,1137,16,205,37,55,NA,45,13,10,33,199,34,247,221
Mississippi,11/27/2021,722,662,NA,150,18,34,11,34,NA,11,NA,173,41,43,34
Missouri,11/27/2021,1486,1367,26,250,49,50,22,76,18,24,14,325,74,143,132
Montana,11/27/2021,266,244,NA,32,NA,NA,NA,NA,NA,NA,0,51,NA,69,61
Nebraska,11/27/2021,413,376,NA,65,15,21,NA,21,NA,NA,NA,71,19,59,53
Nevada,11/27/2021,617,556,NA,96,15,14,13,31,NA,NA,NA,131,30,100,96
New Hampshire,11/27/2021,295,280,NA,62,13,13,NA,NA,NA,NA,NA,46,NA,42,39
New Jersey,11/27/2021,1609,1503,40,306,41,58,22,52,36,32,31,379,81,87,73
New Mexico,11/27/2021,528,468,NA,62,16,14,NA,17,11,NA,NA,76,17,148,140
New York,11/27/2021,2446,2280,36,422,62,63,46,85,56,30,47,552,97,276,240
New York City,11/27/2021,1145,1045,16,226,33,22,37,28,13,11,24,341,40,63,50
North Carolina,11/27/2021,2262,2062,43,414,83,88,40,104,45,49,23,396,117,155,135
North Dakota,11/27/2021,181,166,NA,25,NA,11,NA,NA,NA,NA,NA,22,NA,43,37
Ohio,11/27/2021,3297,3040,38,492,112,97,50,138,51,48,35,610,192,639,585
Oklahoma,11/27/2021,864,796,NA,150,30,25,NA,66,NA,10,NA,216,30,95,79
Oregon,11/27/2021,875,812,NA,157,26,39,NA,47,NA,12,14,141,54,91,80
Pennsylvania,11/27/2021,3446,3202,48,556,77,96,33,96,52,68,33,726,157,618,552
Rhode Island,11/27/2021,248,225,0,42,10,16,NA,NA,NA,NA,NA,51,NA,19,17
South Carolina,11/27/2021,1191,1067,24,181,49,47,NA,53,12,14,NA,218,64,97,84
South Dakota,11/27/2021,217,203,NA,33,13,10,NA,NA,NA,0,NA,34,NA,42,38
Tennessee,11/27/2021,1751,1583,22,297,51,62,27,84,30,17,24,379,82,140,126
Texas,11/27/2021,4718,4319,90,843,144,195,58,198,53,76,48,965,233,419,386
Utah,11/27/2021,474,437,NA,71,22,26,NA,18,NA,NA,NA,86,18,70,65
Vermont,11/27/2021,139,129,NA,29,NA,11,NA,NA,NA,NA,NA,27,NA,NA,NA
Virginia,11/27/2021,1631,1509,32,325,52,47,23,62,28,27,NA,347,75,132,119
Washington,11/27/2021,1336,1202,11,236,37,75,11,42,20,NA,13,260,66,150,133
West Virginia,11/27/2021,575,530,NA,89,24,15,NA,38,NA,11,14,109,20,103,89
Wisconsin,11/27/2021,1394,1258,14,219,41,61,11,48,12,10,NA,287,56,238,206
Wyoming,11/27/2021,134,120,0,20,NA,NA,0,NA,NA,0,0,30,NA,30,29
Puerto Rico,11/27/2021,581,524,13,91,65,53,13,20,NA,26,NA,76,18,NA,NA
United States,12/4/2021,70202,64125,891,11863,2068,2401,948,2904,934,1171,823,14280,3395,8793,7994
Alabama,12/4/2021,1257,1148,34,207,29,53,12,62,14,23,12,317,67,69,59
Alaska,12/4/2021,142,122,NA,23,NA,NA,NA,NA,NA,0,NA,30,NA,17,16
Arizona,12/4/2021,1848,1693,13,236,51,48,30,64,25,20,20,289,78,469,446
Arkansas,12/4/2021,805,743,NA,149,26,27,10,68,10,18,NA,161,40,87,75
California,12/4/2021,6094,5568,37,1184,225,306,108,220,57,122,54,1207,355,515,465
Colorado,12/4/2021,1169,1057,NA,152,24,36,11,56,13,11,NA,186,38,293,271
Connecticut,12/4/2021,768,701,NA,123,14,18,12,31,15,20,NA,161,35,50,47
Delaware,12/4/2021,250,222,NA,45,NA,NA,NA,NA,NA,NA,NA,44,26,27,26
District of Columbia,12/4/2021,135,106,NA,23,NA,NA,0,NA,NA,NA,NA,25,NA,NA,NA
Florida,12/4/2021,4647,4169,54,931,150,131,53,216,49,67,95,974,344,169,144
Georgia,12/4/2021,2017,1821,50,346,56,81,29,92,31,41,19,460,114,116,106
Hawaii,12/4/2021,250,227,NA,49,NA,NA,NA,NA,NA,NA,NA,60,20,NA,NA
Idaho,12/4/2021,349,327,NA,60,13,10,NA,22,NA,NA,NA,61,20,61,52
Illinois,12/4/2021,2555,2352,37,477,73,99,34,103,30,39,38,532,149,284,254
Indiana,12/4/2021,1696,1550,12,279,71,38,20,91,25,25,12,314,53,301,281
Iowa,12/4/2021,754,701,NA,129,33,18,11,34,NA,11,11,160,28,105,94
Kansas,12/4/2021,628,587,NA,109,20,14,NA,29,NA,18,NA,119,31,93,83
Kentucky,12/4/2021,1191,1097,26,215,41,33,22,53,14,22,20,244,51,153,134
Louisiana,12/4/2021,1006,885,21,176,34,42,12,40,17,17,17,245,45,43,39
Maine,12/4/2021,371,340,NA,55,NA,10,NA,23,NA,10,NA,67,17,56,52
Maryland,12/4/2021,1102,998,19,203,32,23,11,29,11,12,NA,269,65,87,73
Massachusetts,12/4/2021,1340,1215,17,228,34,37,18,52,20,26,17,249,49,139,127
Michigan,12/4/2021,2926,2727,24,420,84,107,32,112,28,47,17,567,115,770,716
Minnesota,12/4/2021,1258,1152,11,194,36,49,11,56,15,NA,42,193,52,269,242
Mississippi,12/4/2021,706,643,NA,111,32,38,15,40,14,18,11,160,38,32,25
Missouri,12/4/2021,1508,1366,30,262,37,50,23,75,18,37,NA,316,56,164,157
Montana,12/4/2021,266,243,NA,36,NA,10,NA,14,NA,NA,0,60,NA,46,42
Nebraska,12/4/2021,431,402,NA,75,10,15,NA,21,NA,0,NA,82,13,81,72
Nevada,12/4/2021,698,645,NA,99,18,22,14,41,NA,12,10,156,41,105,103
New Hampshire,12/4/2021,309,285,NA,56,NA,NA,NA,14,NA,NA,NA,62,10,51,49
New Jersey,12/4/2021,1627,1527,34,300,41,60,27,54,45,53,27,363,72,112,95
New Mexico,12/4/2021,569,512,NA,77,20,14,NA,26,NA,NA,NA,68,25,159,144
New York,12/4/2021,2458,2292,30,410,62,46,50,101,53,45,46,501,97,362,324
New York City,12/4/2021,1172,1073,20,248,31,27,40,27,12,14,21,302,51,65,60
North Carolina,12/4/2021,2360,2144,33,385,78,85,30,102,43,46,30,496,121,157,143
North Dakota,12/4/2021,210,194,NA,27,NA,NA,NA,NA,NA,NA,NA,37,NA,59,54
Ohio,12/4/2021,3505,3275,41,520,98,111,24,135,50,48,39,714,172,748,699
Oklahoma,12/4/2021,959,867,NA,166,15,39,23,57,NA,NA,10,221,37,114,102
Oregon,12/4/2021,865,776,NA,167,33,26,NA,40,11,NA,NA,147,50,81,69
Pennsylvania,12/4/2021,3653,3378,63,534,80,106,30,120,54,63,65,712,139,731,673
Rhode Island,12/4/2021,277,245,NA,41,NA,16,NA,NA,NA,NA,NA,68,NA,25,21
South Carolina,12/4/2021,1168,1063,14,197,22,43,18,55,17,17,NA,275,55,71,61
South Dakota,12/4/2021,219,198,NA,42,11,11,NA,NA,NA,NA,NA,32,NA,35,32
Tennessee,12/4/2021,1879,1683,21,305,43,60,34,88,24,25,17,394,94,181,165
Texas,12/4/2021,4897,4446,80,839,145,200,70,185,75,90,48,1036,240,472,418
Utah,12/4/2021,510,461,12,67,20,17,NA,19,11,NA,NA,86,13,88,85
Vermont,12/4/2021,159,141,NA,29,NA,NA,NA,NA,NA,0,NA,38,NA,12,12
Virginia,12/4/2021,1742,1588,19,307,49,45,19,58,25,36,10,379,89,143,126
Washington,12/4/2021,1377,1236,20,230,50,90,NA,45,20,11,16,235,65,130,114
West Virginia,12/4/2021,627,566,NA,94,31,NA,NA,33,NA,13,17,132,30,87,75
Wisconsin,12/4/2021,1387,1270,18,208,36,50,13,47,13,24,13,260,48,275,241
Wyoming,12/4/2021,106,98,NA,18,NA,NA,NA,NA,NA,NA,0,14,NA,21,18
Puerto Rico,12/4/2021,604,567,11,98,57,54,15,17,NA,20,NA,98,29,NA,NA
United States,12/11/2021,72153,66094,817,12100,2121,2384,1053,3091,991,1102,801,14657,3360,9744,8864
Alabama,12/11/2021,1247,1144,22,202,32,45,19,77,18,26,26,296,66,56,53
Alaska,12/11/2021,128,115,NA,29,NA,NA,NA,NA,NA,NA,NA,15,NA,17,15
Arizona,12/11/2021,1966,1809,17,241,71,47,17,86,27,19,19,312,79,542,510
Arkansas,12/11/2021,796,723,NA,114,37,26,15,62,11,19,NA,191,42,67,65
California,12/11/2021,6226,5709,34,1180,214,307,100,245,73,113,61,1295,394,459,420
Colorado,12/11/2021,1128,995,NA,139,25,27,NA,50,16,14,NA,167,34,285,264
Connecticut,12/11/2021,750,687,12,130,NA,24,12,25,13,15,NA,142,27,83,77
Delaware,12/11/2021,232,216,NA,42,12,NA,NA,10,NA,NA,NA,40,14,27,26
District of Columbia,12/11/2021,152,124,NA,28,NA,0,NA,NA,NA,NA,0,37,NA,11,10
Florida,12/11/2021,4625,4161,44,886,150,118,56,206,53,77,61,1006,307,170,139
Georgia,12/11/2021,2060,1864,28,377,64,95,35,104,41,42,30,420,107,96,82
Hawaii,12/11/2021,236,221,NA,43,NA,12,NA,NA,NA,NA,NA,52,20,NA,NA
Idaho,12/11/2021,370,342,NA,56,NA,16,NA,26,NA,NA,NA,83,NA,42,38
Illinois,12/11/2021,2673,2474,33,486,69,80,37,96,32,47,30,568,143,365,334
Indiana,12/11/2021,1849,1713,15,289,49,46,18,93,23,23,NA,358,90,400,363
Iowa,12/11/2021,824,764,NA,141,16,26,11,50,NA,13,12,154,35,126,111
Kansas,12/11/2021,692,637,NA,110,18,21,12,38,NA,NA,NA,124,28,119,114
Kentucky,12/11/2021,1311,1134,15,199,29,24,15,69,23,22,17,252,50,173,162
Louisiana,12/11/2021,1010,881,17,168,34,31,19,52,21,19,13,237,52,40,35
Maine,12/11/2021,436,400,0,63,12,19,NA,19,NA,NA,NA,88,17,76,70
Maryland,12/11/2021,1185,1072,18,203,36,17,16,44,15,24,NA,256,63,118,97
Massachusetts,12/11/2021,1453,1323,21,275,36,31,25,53,23,21,17,273,43,145,135
Michigan,12/11/2021,3114,2951,23,456,62,95,34,121,21,38,11,645,135,857,786
Minnesota,12/11/2021,1260,1172,NA,210,27,59,11,34,17,10,32,199,50,266,246
Mississippi,12/11/2021,710,648,NA,127,29,29,19,38,12,11,NA,165,34,41,28
Missouri,12/11/2021,1614,1469,17,267,44,51,22,66,30,34,NA,325,72,224,209
Montana,12/11/2021,253,222,NA,42,NA,NA,NA,NA,NA,NA,NA,49,NA,45,37
Nebraska,12/11/2021,464,441,NA,79,16,15,NA,22,NA,NA,NA,74,22,80,73
Nevada,12/11/2021,663,607,NA,86,14,18,13,32,NA,NA,NA,159,41,115,110
New Hampshire,12/11/2021,306,283,NA,41,NA,NA,NA,16,NA,NA,NA,58,NA,57,50
New Jersey,12/11/2021,1655,1540,32,291,40,44,26,52,42,26,27,399,89,143,125
New Mexico,12/11/2021,659,600,NA,87,12,NA,NA,19,12,10,NA,110,23,199,188
New York,12/11/2021,2590,2412,20,413,80,36,56,82,51,40,48,574,90,423,373
New York City,12/11/2021,1131,1033,18,236,28,20,41,24,12,10,19,328,37,63,56
North Carolina,12/11/2021,2393,2162,49,406,92,102,35,105,40,41,34,422,103,204,186
North Dakota,12/11/2021,211,196,NA,24,NA,NA,NA,14,NA,NA,NA,38,NA,42,37
Ohio,12/11/2021,3549,3329,46,490,96,108,59,141,42,48,37,670,167,859,800
Oklahoma,12/11/2021,1017,936,NA,159,26,44,NA,76,NA,NA,NA,269,36,128,109
Oregon,12/11/2021,966,865,NA,183,25,47,NA,43,15,14,17,175,50,84,65
Pennsylvania,12/11/2021,3669,3404,52,559,112,99,60,105,41,58,64,729,147,807,732
Rhode Island,12/11/2021,265,245,NA,51,NA,14,NA,12,NA,NA,0,47,11,41,33
South Carolina,12/11/2021,1213,1083,23,201,43,38,15,53,15,16,10,246,67,86,78
South Dakota,12/11/2021,229,210,NA,39,NA,NA,NA,10,NA,NA,NA,39,10,31,30
Tennessee,12/11/2021,1931,1722,32,319,58,81,36,110,21,24,19,390,82,197,181
Texas,12/11/2021,4914,4511,64,869,161,179,81,207,76,97,52,1008,225,497,452
Utah,12/11/2021,513,473,NA,71,22,25,11,19,NA,13,NA,111,16,67,62
Vermont,12/11/2021,135,127,NA,26,NA,NA,NA,NA,NA,NA,0,30,NA,15,13
Virginia,12/11/2021,1771,1628,26,308,62,54,26,64,27,35,11,368,79,195,180
Washington,12/11/2021,1393,1275,13,293,40,79,NA,73,17,NA,10,233,53,136,122
West Virginia,12/11/2021,630,575,NA,116,28,15,NA,40,11,10,13,126,13,93,81
Wisconsin,12/11/2021,1461,1348,14,237,35,57,15,68,13,NA,11,280,48,301,274
Wyoming,12/11/2021,125,119,NA,13,NA,NA,NA,NA,NA,NA,0,25,NA,24,23
Puerto Rico,12/11/2021,627,579,13,89,69,66,15,12,NA,14,NA,111,26,NA,NA
United States,12/18/2021,71335,65423,859,11672,2132,2432,998,3056,988,1123,775,14378,3357,10267,9380
Alabama,12/18/2021,1148,1061,15,183,35,58,24,58,17,18,19,295,59,71,63
Alaska,12/18/2021,121,107,NA,20,NA,NA,NA,NA,NA,NA,0,15,NA,NA,NA
Arizona,12/18/2021,1861,1699,13,248,68,65,19,59,31,13,16,299,69,483,454
Arkansas,12/18/2021,821,763,10,132,23,33,15,46,NA,20,NA,176,47,100,95
California,12/18/2021,6594,6031,42,1165,238,336,106,287,63,95,62,1446,356,544,506
Colorado,12/18/2021,1137,1023,12,163,27,32,NA,67,12,10,NA,174,35,252,232
Connecticut,12/18/2021,718,656,NA,120,15,19,12,24,16,17,12,147,25,80,77
Delaware,12/18/2021,253,228,NA,40,12,NA,NA,14,NA,NA,NA,50,10,44,39
District of Columbia,12/18/2021,121,99,0,21,NA,0,NA,NA,0,NA,NA,25,NA,NA,NA
Florida,12/18/2021,4546,4077,70,926,153,122,60,213,68,86,67,937,294,158,123
Georgia,12/18/2021,1991,1809,38,315,49,89,21,98,44,37,21,459,101,140,128
Hawaii,12/18/2021,252,230,NA,43,NA,11,NA,NA,NA,NA,NA,56,21,NA,NA
Idaho,12/18/2021,360,326,NA,67,NA,18,NA,16,NA,NA,NA,66,10,47,44
Illinois,12/18/2021,2669,2481,28,456,70,78,36,86,31,49,20,578,145,452,410
Indiana,12/18/2021,1876,1755,16,265,50,61,29,105,21,39,11,333,69,432,402
Iowa,12/18/2021,775,730,10,129,33,21,11,35,12,10,NA,158,27,134,129
Kansas,12/18/2021,721,672,NA,100,21,12,10,37,NA,13,15,136,31,133,125
Kentucky,12/18/2021,1218,1115,18,174,33,31,22,67,18,18,21,229,38,213,194
Louisiana,12/18/2021,996,885,18,171,27,40,NA,37,33,22,18,258,41,27,23
Maine,12/18/2021,415,382,NA,60,13,NA,NA,24,NA,NA,NA,78,NA,86,79
Maryland,12/18/2021,1217,1088,17,207,30,13,15,40,13,13,NA,251,73,171,157
Massachusetts,12/18/2021,1364,1251,18,253,37,34,22,50,22,39,11,231,43,170,158
Michigan,12/18/2021,2915,2743,25,370,80,108,35,115,30,39,15,587,124,825,756
Minnesota,12/18/2021,1278,1182,NA,229,43,63,NA,28,15,25,19,192,45,277,240
Mississippi,12/18/2021,754,694,NA,138,30,30,17,56,NA,19,NA,163,45,52,39
Missouri,12/18/2021,1624,1523,30,265,34,62,29,85,32,23,NA,336,75,263,246
Montana,12/18/2021,285,255,NA,42,11,NA,NA,19,NA,NA,NA,63,11,32,28
Nebraska,12/18/2021,411,380,NA,76,10,10,NA,15,NA,NA,NA,72,18,84,76
Nevada,12/18/2021,662,603,NA,100,18,21,NA,29,NA,NA,NA,167,29,88,86
New Hampshire,12/18/2021,325,298,NA,54,12,NA,NA,15,NA,NA,NA,55,NA,63,58
New Jersey,12/18/2021,1724,1620,50,287,43,51,24,64,47,36,30,390,95,179,158
New Mexico,12/18/2021,593,533,NA,78,14,18,NA,16,12,11,NA,79,23,173,157
New York,12/18/2021,2455,2303,25,397,59,43,50,102,50,29,45,511,85,413,377
New York City,12/18/2021,1269,1139,24,212,31,21,27,28,14,16,26,354,48,102,97
North Carolina,12/18/2021,2277,2058,29,372,77,85,32,111,26,39,30,451,113,227,204
North Dakota,12/18/2021,194,174,NA,25,NA,NA,NA,NA,NA,NA,NA,35,10,33,31
Ohio,12/18/2021,3652,3415,47,470,101,110,41,144,57,44,39,699,168,959,883
Oklahoma,12/18/2021,1001,923,NA,155,42,27,NA,69,10,NA,NA,241,42,145,122
Oregon,12/18/2021,925,835,NA,173,30,44,13,42,NA,11,11,158,58,74,61
Pennsylvania,12/18/2021,3695,3413,55,537,92,77,44,120,38,70,56,706,169,838,777
Rhode Island,12/18/2021,247,229,NA,54,NA,NA,NA,12,NA,NA,NA,50,NA,33,28
South Carolina,12/18/2021,1166,1051,15,188,25,53,NA,50,15,19,NA,236,68,94,87
South Dakota,12/18/2021,212,201,NA,38,NA,NA,NA,14,NA,0,0,37,NA,52,51
Tennessee,12/18/2021,1868,1681,16,305,54,61,39,86,18,25,19,399,93,189,169
Texas,12/18/2021,4731,4280,70,835,154,198,80,194,73,86,48,895,229,472,433
Utah,12/18/2021,488,451,NA,68,16,16,NA,17,12,NA,NA,85,20,79,73
Vermont,12/18/2021,156,144,NA,33,NA,NA,NA,NA,NA,0,0,30,NA,19,15
Virginia,12/18/2021,1745,1603,27,348,67,53,19,74,27,30,NA,330,89,206,180
Washington,12/18/2021,1340,1235,21,257,45,75,13,69,16,14,11,268,69,95,85
West Virginia,12/18/2021,594,559,13,79,16,19,NA,34,NA,16,23,111,28,102,94
Wisconsin,12/18/2021,1477,1344,12,212,44,62,25,50,12,14,NA,265,59,322,296
Wyoming,12/18/2021,98,86,NA,17,NA,NA,NA,NA,NA,NA,0,16,NA,18,17
Puerto Rico,12/18/2021,638,593,13,90,69,48,22,13,10,19,NA,126,26,10,NA
United States,12/25/2021,72326,66513,859,11853,2108,2542,1080,3145,970,1168,864,14747,3317,10474,9477
Alabama,12/25/2021,1144,1059,26,168,29,49,25,56,19,29,16,294,62,74,65
Alaska,12/25/2021,115,98,NA,22,NA,NA,NA,NA,0,0,NA,22,NA,10,NA
Arizona,12/25/2021,1992,1821,12,281,53,75,44,83,23,23,16,341,64,482,447
Arkansas,12/25/2021,759,688,13,117,29,37,12,42,NA,13,10,165,29,73,66
California,12/25/2021,6631,6111,38,1240,243,354,102,271,79,109,92,1401,359,523,470
Colorado,12/25/2021,1098,978,NA,155,22,46,NA,49,19,12,NA,189,40,213,196
Connecticut,12/25/2021,756,695,11,129,18,29,10,24,11,10,11,139,29,110,102
Delaware,12/25/2021,240,212,NA,43,NA,NA,NA,13,NA,NA,0,46,13,31,24
District of Columbia,12/25/2021,138,118,NA,23,NA,0,NA,0,NA,NA,0,35,11,15,13
Florida,12/25/2021,4530,4086,49,875,130,116,52,199,57,71,69,1002,325,191,151
Georgia,12/25/2021,2110,1935,34,374,61,102,24,110,44,65,39,457,98,132,114
Hawaii,12/25/2021,250,235,NA,61,NA,12,NA,10,NA,NA,NA,45,19,NA,NA
Idaho,12/25/2021,399,374,NA,65,NA,17,NA,23,NA,NA,NA,80,17,55,49
Illinois,12/25/2021,2821,2617,30,473,61,87,36,116,28,64,39,530,135,554,522
Indiana,12/25/2021,1880,1734,20,260,59,42,19,110,22,23,NA,333,72,471,430
Iowa,12/25/2021,820,771,10,120,21,24,17,41,NA,10,NA,197,33,148,137
Kansas,12/25/2021,726,676,10,102,17,23,14,31,11,13,NA,143,34,122,113
Kentucky,12/25/2021,1312,1209,19,199,29,36,22,78,16,19,16,267,53,230,205
Louisiana,12/25/2021,1010,900,22,156,32,39,14,54,28,22,14,262,39,38,32
Maine,12/25/2021,402,365,0,72,11,15,NA,10,NA,NA,NA,73,15,76,73
Maryland,12/25/2021,1294,1161,15,203,38,27,12,35,12,16,11,276,73,197,170
Massachusetts,12/25/2021,1409,1314,18,235,32,45,28,50,29,31,14,279,40,187,173
Michigan,12/25/2021,2858,2699,33,411,83,93,36,122,26,35,15,566,131,769,697
Minnesota,12/25/2021,1193,1099,11,196,31,53,NA,54,NA,11,35,177,56,222,194
Mississippi,12/25/2021,700,643,NA,109,30,29,17,47,NA,14,NA,161,39,57,47
Missouri,12/25/2021,1666,1534,26,260,43,49,28,81,25,33,NA,327,75,284,262
Montana,12/25/2021,237,219,NA,43,NA,NA,NA,11,NA,NA,NA,58,NA,25,23
Nebraska,12/25/2021,448,430,NA,63,13,24,NA,29,NA,NA,NA,88,15,73,65
Nevada,12/25/2021,691,628,NA,104,11,15,17,33,NA,11,NA,154,35,115,112
New Hampshire,12/25/2021,335,311,NA,60,13,NA,NA,NA,NA,NA,NA,66,NA,74,63
New Jersey,12/25/2021,1754,1646,43,333,37,42,24,48,44,36,32,404,80,205,186
New Mexico,12/25/2021,613,554,NA,81,20,16,NA,20,11,NA,NA,88,20,164,156
New York,12/25/2021,2531,2389,32,401,67,47,54,95,51,33,46,590,97,435,389
New York City,12/25/2021,1341,1221,17,240,43,27,50,29,13,17,22,347,37,164,142
North Carolina,12/25/2021,2419,2183,31,387,90,85,42,104,39,59,34,443,138,256,227
North Dakota,12/25/2021,178,163,NA,22,NA,10,NA,NA,NA,NA,NA,32,NA,25,24
Ohio,12/25/2021,3599,3351,45,509,95,99,47,172,47,42,31,698,157,944,854
Oklahoma,12/25/2021,1004,926,NA,148,29,37,14,65,NA,11,12,239,47,149,123
Oregon,12/25/2021,898,818,NA,171,28,32,NA,41,10,15,10,172,50,70,59
Pennsylvania,12/25/2021,3617,3347,47,519,79,87,58,123,48,68,53,710,130,818,750
Rhode Island,12/25/2021,290,271,NA,42,10,12,NA,NA,NA,NA,0,62,11,50,44
South Carolina,12/25/2021,1258,1141,14,209,41,52,20,60,NA,16,12,258,59,125,107
South Dakota,12/25/2021,194,177,NA,33,NA,NA,NA,12,NA,NA,0,26,NA,32,30
Tennessee,12/25/2021,1845,1684,24,303,51,55,36,111,21,26,18,376,83,201,188
Texas,12/25/2021,4901,4480,71,838,182,211,73,205,67,82,50,1017,220,483,442
Utah,12/25/2021,493,447,NA,70,16,33,NA,22,NA,NA,NA,80,27,53,49
Vermont,12/25/2021,113,103,NA,21,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA
Virginia,12/25/2021,1742,1606,24,295,58,56,24,72,30,35,13,338,76,217,203
